"ID","Area","Feature","UserStory","UserRole","Route","ExpectedBehavior","AcceptanceCriteria","EdgeCases","TestSteps","CurrentStatus","ErrorsFound","Severity","FixStatus","RetestStatus","Notes"
"A1","Auth","Phone OTP login","As a user I want to log in with my phone so I can access my account","Rider","app/auth/phone.tsx","Enter a Ghana phone number (>=9 digits) enables Log In; tapping calls signInWithPhone -> Supabase OTP; navigates to auth/verify with phone param; failure shows an Alert.","Log In button disabled while phone.length<9 or loading; Successful signInWithPhone triggers success haptic and router.push to /auth/verify with phone param; Failed signInWithPhone shows Alert('Error', message) and error haptic, stays on screen; footer 'Sign Up' link navigates to /register/phone","Phone <9 digits keeps button disabled with no alert; Network/Supabase failure falls back to generic 'Failed to send OTP' message; Rapid double-tap while loading guarded by disabled={loading}; No validation beyond digit length (any 9+ digit string passes, not Ghana-specific)","1) Launch app cold, land on /auth/phone 2) Enter 200000000 (9 digits) 3) Confirm Log In button becomes enabled 4) Tap Log In, observe 'Sending code...' state 5) Confirm navigation to /auth/verify with phone param 6) Retry with <9 digits to confirm button stays disabled","Passed","","","","","KnownConcerns: none obvious. Code confirms Sign Up footer link (router.replace to /register/phone) is a distinct entry point. Code confirms: disabled while loading/<9 digits (phone.tsx:83), success haptic+push to /auth/verify (30-32), Alert('Error', msg||'Failed to send OTP') on failure (35), Sign Up footer replace (39-42). Minor: the Alert.alert('Invalid Number') fallback at phone.tsx:20-23 is unreachable (button already disabled); validation is digit-count only, not Ghana-prefix-aware. | Verified: code-walk"
"A2","Auth","Enter OTP","As a user I want to enter the OTP so I can verify my number","Rider","app/auth/verify.tsx","6-cell OTP grid auto-advances per digit; 6th digit auto-submits verifyOtp; wrong code clears grid + refocuses cell 0 with error Alert; success links device (if deviceId present), clears troski_signed_out flag, router.replace to (tabs).","Entering a digit auto-focuses next cell and the 6th digit auto-calls verifyOtp; On success linkToDevice runs if deviceId set, signed-out flag cleared, router.replace('/(tabs)'); On failure Alert('Invalid Code',...) shown, OTP cleared, focus returns to cell 0; Backspace on an empty cell moves focus to and clears the previous cell","Verifying with no network shows Alert, no crash; App backgrounded mid-OTP keeps local 60s timer counting (not synced to server expiry); deviceId not yet resolved when OTP completes skips linkToDevice silently; No lockout after repeated wrong-code attempts (unlike wallet PIN's 5-attempt lock)","1) From /auth/phone request a code for +233200000000 2) On /auth/verify enter 123456 digit by digit 3) Confirm auto-advance between cells and auto-submit on 6th digit 4) Confirm redirect to (tabs) home 5) Repeat with a wrong code (e.g. 111111) to confirm Alert + grid clears + refocus to cell 0","Passed","","","Fixed","Passed","KnownConcerns: none. All other criteria confirmed in code: auto-advance (verify.tsx:41-44), auto-submit on 6th digit (46-49), troski_signed_out cleared + router.replace('/(tabs)') (56-58), failure Alert + grid clear + refocus cell 0 (60-63), backspace focus-back (68-74). The linkToDevice call itself is present but its guard makes it dead on the fresh-login path. | Verified: code-walk | Fixed+retested 2026-07-04 (code-verified, typecheck clean); runtime retest pending (needs device login / PIN cycle / live purchase)"
"A3","Auth","Resend OTP","As a user I want to resend the code if not received","Rider","app/auth/verify.tsx","60s countdown then Resend link re-calls signInWithPhone(phone) and resets the timer to 60 (current code: onPress={async () => { await signInWithPhone(phone); setTimer(60) }}).","Resend link only appears once the 60s countdown reaches 0; Tapping Resend re-triggers signInWithPhone and resets the visible timer to 60; No loading/disabled state while the resend request is in flight (fire-and-forget)","Rapid repeated taps on Resend before the timer visibly resets could send multiple OTP requests; Resend failure is not surfaced to the user (no Alert on error); Timer is local-only, not synced to actual server-side OTP expiry","1) On /auth/verify wait for the countdown to reach 0:00 2) Tap Resend 3) Confirm timer resets to 1:00 4) Confirm a fresh code (123456 in test env) verifies successfully","Passed","BUG (fixed): Resend previously reset the UI countdown but never actually re-called signInWithPhone, so no new OTP code was sent to the user despite the timer resetting.","High","Fixed","Passed","KnownConcerns: BUG originally reported here; current code confirms signInWithPhone is now called on Resend, matching the fix. Code confirms Resend calls signInWithPhone(phone) then setTimer(60) (auth/verify.tsx:124). Still no error surfacing on resend failure and no in-flight disable — both already-tracked edge cases hold. | Verified: code-walk"
"A4","Auth","Change number","As a user I want to fix a wrong number","Rider","app/auth/verify.tsx","Both the header back arrow and the 'Change number?' link call router.back(), returning to auth/phone.","Tapping 'Change number?' calls router.back(); Header back arrow also calls router.back(); Returning to auth/phone is a fresh mount with no stale OTP state carried over","Back navigation when the phone param is missing/empty falls back to a bare '+233' in the displayed subtitle; Rapid repeated taps on back could theoretically double-pop the stack (not guarded)","1) On /auth/verify tap 'Change number?' 2) Confirm navigation back to /auth/phone 3) Re-enter a number and resend to confirm the flow restarts cleanly","Passed","","","","","KnownConcerns: none. Both back paths call router.back() (auth/verify.tsx:81, 93). Missing phone param renders '+233' bare in subtitle (line 34) as tracked. | Verified: code-walk"
"R1","Register","Signup phone+email","As a new user I want to sign up with phone+email","Rider","app/register/phone.tsx","Phone>=9 digits + optional email enable Continue; malformed non-empty email is rejected before submit; on submit calls signInWithPhone then navigates to register/verify carrying phone+email.","Continue disabled until phone.length>=9; Non-empty malformed email blocked with Alert('Invalid Email',...) before any network call; Empty email is allowed (optional field); Successful send navigates to /register/verify with phone & email params","Whitespace-only email is treated as empty via trim() check; OTP send failure shows Alert('Error',...) and stays on screen; Continue tap guarded against double-submit via disabled={loading}","1) Open /register/phone 2) Enter 200000000 3) Enter invalid email 'test@' and tap Continue, expect an Invalid Email alert 4) Clear the email field, tap Continue 5) Confirm navigation to /register/verify","Passed","BUG (fixed): email field previously had no validation at all — empty or malformed addresses were both silently accepted.","Medium","Fixed","Passed","KnownConcerns: email validation bug now fixed with a regex check before submit; still permissive (accepts any syntactically valid address, no verification email sent). Code confirms: phone>=9 gate (register/phone.tsx:23,46), email regex on non-empty trimmed value (27-30), Alert('Invalid Email') pre-network, success push to /register/verify with phone+email (39), disabled={loading||!canContinue} (107). | Verified: code-walk"
"R2","Register","Signup OTP","As a new user I want to verify my phone","Rider","app/register/verify.tsx","Same 6-cell OTP grid as auth/verify; auto-submit on the 6th digit AND an explicit Verify button now wired via submitOtp with a loading guard; success -> register/profile carrying phone+email.","Verify button disabled while loading or any cell is empty; submitOtp is guarded against double-submit via an internal loading check; Success routes to /register/profile with phone & email params; Failure clears the OTP grid and refocuses cell 0 with an Alert","Typing the 6th digit while also tapping Verify is protected by the loading guard so verifyOtp isn't called twice; Resend link on this screen re-triggers signInWithPhone identically to A3; No lockout on repeated wrong-code attempts","1) From register/phone continue to register/verify 2) Enter 123456 and confirm auto-submit navigates to register/profile 3) Retry the flow, type only 5 digits (Verify stays disabled), then complete the 6th digit to confirm the submit path fires once","Passed","BUG (fixed): Verify button was previously a dead no-op (onPress was empty) — only the auto-submit-on-6th-digit path actually verified the code.","High","Fixed","Passed","KnownConcerns: Verify button now wired to submitOtp with a loading guard; confirmed no double verifyOtp calls. Code confirms: submitOtp loading+length guard (register/verify.tsx:50), Verify button wired to submitOtp and disabled while loading/any-cell-empty (135-136), failure clears grid + refocuses cell 0 (62-63). Minor: success uses router.push (58) not replace, so back gesture can return to the spent OTP screen. | Verified: code-walk"
"R3","Register","Profile details","As a new user I want to enter my name/gender/city/referral","Rider","app/register/profile.tsx","First+last name required to enable Continue; gender/city/referral are optional free-text fields (gender is a plain TextInput despite the 'Select gender' placeholder, not a picker).","Continue disabled unless trimmed firstName and lastName are both non-empty; Gender/City/Referral accept any free text and are fully optional; Continue navigates to /register/review carrying all 5 fields plus phone/email","Gender field allows arbitrary free text since it's a TextInput, not a picker — a real data-quality risk for a field expected to be categorical; Whitespace-only names fail the trim check and keep Continue disabled; No max length cap on any of the name fields","1) On register/profile enter First 'Kwame' 2) Enter Last 'Mensah' 3) Leave gender/city/referral blank 4) Tap Continue and confirm navigation to /register/review with the correct values shown","Passed","","","","","KnownConcerns: Gender is labelled 'Select gender' but is actually a free TextInput (no picker) — should be flagged for a future UI fix. Code confirms trim-gate on first+last name (register/profile.tsx:24), all 5 fields + phone/email passed to review (29-32). Gender remains a free TextInput with 'Select gender' placeholder (57) — data-quality flag stands; no maxLength on name fields. | Verified: code-walk"
"R4","Register","Review details","As a new user I want to confirm details before saving","Rider","app/register/review.tsx","Shows email/phone/city; Confirm upserts contributor_profiles (deletes any stale row on the same phone tied to a different device, then updates the current device's row); on DB error shows an Alert and stays on screen (no longer silently advances); success -> register/pin. Terms/Privacy links wired.","Confirm button shows 'Saving...' and is disabled while saving; On a Supabase update error, Alert('Could not save profile',...) is shown and the screen does NOT advance; On success, haptic + router.push('/register/pin'); Terms & Privacy Policy inline links open /terms and /privacy respectively","No deviceId available means the update is skipped as a no-op but the flow still proceeds to /register/pin (silent data-loss gap); Phone tied to a stale different device_id row is deleted before the update; 'Edit Details' uses router.back() rather than resubmitting any changed params","1) On register/review confirm the displayed email/phone/city 2) Tap 'Terms & Condition' link, confirm /terms opens, then go back 3) Tap Confirm & Continue 4) Confirm navigation to /register/pin 5) If reachable, simulate a DB error to confirm the Alert blocks advancement","Passed","BUG (fixed): a failed Supabase save was previously swallowed — the user advanced to the PIN step as if the profile had saved successfully even when the write failed.","High","Fixed","Passed","KnownConcerns: save-error swallow bug fixed (now throws -> Alert -> return, no advance); Terms/Privacy links confirmed wired. Code confirms: stale same-phone/other-device row deleted then current device row updated (review.tsx:47-55), throw -> Alert('Could not save profile') -> return with no advance (54-61), 'Saving...' disabled state (98-100), Terms/Privacy links push /terms and /privacy (112). No-deviceId still silently skips the update yet proceeds to /register/pin (52-66) — known gap stands. | Verified: code-walk"
"R5","Register","Create PIN","As a new user I want to set a 4-digit PIN","Rider","app/register/pin.tsx","4-digit create->confirm flow; mismatch resets to the create step with an error message; PIN stored in AsyncStorage under 'troski_user_pin'; success navigates to register/survey.","Entering 4 digits in the create step auto-advances to the confirm step; Matching confirm PIN stores to AsyncStorage and navigates to /register/survey; Mismatched PIN shows \PINs don't match. Try again.\"" and resets both steps; Back on the confirm step returns to create step (clearing both); back on create step calls router.back()""","Registration PIN is stored in AsyncStorage in PLAIN TEXT versus the wallet PIN which uses SecureStore — an inconsistent, less-secure pattern; Hidden TextInput relies entirely on the system keyboard with only dot-fill as visual feedback; Rapid re-entry during the 300-500ms step-transition setTimeout could double-fire haptics","1) On register/pin enter 1234 2) Confirm auto-advance to the Confirm step 3) Enter 1234 again 4) Confirm navigation to /register/survey 5) Repeat with a mismatched confirm PIN (e.g. 4321) to verify the error message and reset to the create step","Passed","No .catch on setWalletPin (pin.tsx:54) — a rare SecureStore write failure silently strands the user on Confirm with no error/nav","Low","","","KnownConcerns: Registration PIN stored in AsyncStorage (plain text) vs wallet PIN in SecureStore — inconsistent/insecure; should be unified onto SecureStore. Flow criteria all confirmed (auto-advance register/pin.tsx:38-40, match->store->survey 47-51, mismatch error+reset 52-55, back handling 68-72). NEW: 'troski_user_pin' is WRITE-ONLY — grep shows no reader anywhere in app/ or lib/ (only writer pin.tsx:13,49), so the subtitle promise 'You'll use this to sign in and approve transactions' is false; wallet PIN is a separate SecureStore system (lib/services/walletPin.ts). Plain-text AsyncStorage concern stands; the step collects a credential the app never uses. | Verified: code-walk || P2: code-walk: original plaintext-AsyncStorage blocker RESOLVED — PIN now written to SecureStore via setWalletPin pin.tsx:54 (same store wallet verifies) and legacy troski_user_pin removed :55; auto-advance :42-44, match->store->survey :51-57, mismatch->error+reset :58-62, back handling :76-77 all pass; subtitle promise now truthful"
"R6","Register","Acquisition survey","As a new user I want to say how I found Troski","Rider","app/register/survey.tsx","Radio options set referral_source; 'Go to Home Screen' best-effort writes referral_source, then calls completeOnboarding, then router.replace to (tabs); a submitting guard + disabled button prevent double completeOnboarding calls.","Selecting an option highlights its radio + updates label styling; Done button shows 'Setting up…' and is disabled while submitting; referral_source write is attempted only if an option was selected, and failures are caught/logged without blocking; Flow always ends in completeOnboarding() + router.replace('/(tabs)') regardless of the write outcome","No option selected still allows proceeding (Done works with selected=null); Supabase update failure for referral_source is swallowed via console.warn only — silent data loss on a low-value field; Double-tap on Done is guarded by the submitting state","1) On register/survey select 'Friend or family' 2) Tap 'Go to Home Screen' 3) Confirm a brief 'Setting up…' state then landing on (tabs) home 4) Log out and back in to confirm onboarding does not re-appear","Passed","","","","","KnownConcerns: added double-submit guard + loading state; referral_source write remains best-effort/low-value and can silently fail. Code confirms: submitting guard + disabled + 'Setting up…' (survey.tsx:32-34,89-91), referral_source written only when selected and only when an auth user exists (37-44), completeOnboarding + replace always run (46-48). Note: supabase update errors return an error object (not thrown), so the catch/console.warn never fires for DB failures — write is fully silent best-effort, and it targets auth_user_id not device_id. | Verified: code-walk"
